Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,3,14,0,0,0,1,0,0,0
O0_fomit_frame_pointer,0 (0; 0.0%),1 (2; 66.7%),7 (7; 50.0%),0 (0; 0.0%),0 (0; 0.0%),2 (-2; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0_fshrink_wrap,0 (0; 0.0%),4 (-1; -33.3%),12 (2; 14.3%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
