Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,3,3,31,0,1,6,7,0,0,0
O0_fomit_frame_pointer,1 (2; 66.7%),3 (0; 0.0%),18 (13; 41.9%),0 (0; 0.0%),2 (-1; -100.0%),9 (-3; -50.0%),6 (1; 14.3%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0_fshrink_wrap,3 (0; 0.0%),6 (-3; -100.0%),29 (2; 6.5%),0 (0; 0.0%),1 (0; 0.0%),10 (-4; -66.7%),9 (-2; -28.6%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
