Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,10054,3584,2465,3685,320
O1_foptimize_sibling_calls,10054 (0; 0.0%),3584 (0; 0.0%),2465 (0; 0.0%),3685 (0; 0.0%),320 (0; 0.0%)
