Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O3,1585,1148,259,152,26
O3-no-tail-call-elim,1909 (-324; -20.4%),1110 (38; 3.3%),504 (-245; -94.6%),270 (-118; -77.6%),25 (1; 3.8%)
