Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,682, ,495, ,97, ,70
O1,675,92.0%,534,89.9%,62,100.0%,73,100.0%
O2,699,91.7%,594,90.2%,46,100.0%,54,100.0%
O3,939,93.7%,687,91.6%,133,100.0%,106,100.0%
