Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,682,495,97,70,20
O1,675 (7; 1.0%),534 (-39; -7.9%),62 (35; 36.1%),73 (-3; -4.3%),6 (14; 70.0%)
O2,699 (-17; -2.5%),594 (-99; -20.0%),46 (51; 52.6%),54 (16; 22.9%),5 (15; 75.0%)
O3,939 (-257; -37.7%),687 (-192; -38.8%),133 (-36; -37.1%),106 (-36; -51.4%),13 (7; 35.0%)
