Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,9 of 11,30 of 35,12 of 17
O1,8 (1),31 (-1),13 (-1)
O2,9 (0),30 (0),15 (-3)
O3,8 (1),26 (4),11 (1)
