Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,21,48,58,0,9,111,70,0,0,18
O1,12 (9; 42.9%),25 (23; 47.9%),50 (8; 13.8%),0 (0; 0.0%),3 (6; 66.7%),30 (81; 73.0%),47 (23; 32.9%),0 (0; 0.0%),0 (0; 0.0%),37 (-19; -105.6%)
O2,11 (10; 47.6%),31 (17; 35.4%),95 (-37; -63.8%),0 (0; 0.0%),7 (2; 22.2%),32 (79; 71.2%),38 (32; 45.7%),0 (0; 0.0%),0 (0; 0.0%),9 (9; 50.0%)
O3,20 (1; 4.8%),21 (27; 56.2%),74 (-16; -27.6%),0 (0; 0.0%),5 (4; 44.4%),37 (74; 66.7%),37 (33; 47.1%),0 (0; 0.0%),0 (0; 0.0%),17 (1; 5.6%)
