Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,861,1.8739837398373984,684,1.5738304093567252,2903,1.7171891147089218
O1,1613 (-752),1.7306261624302541 (0.14335757740714428),812 (-128),1.853448275862069 (-0.2796178665053437),3542 (-639),1.7368718238283456 (-0.019682709119423825)
O2,1402 (-541),1.6900855920114122 (0.18389814782598624),696 (-12),1.9827586206896552 (-0.40892821133293),4304 (-1401),1.6967936802973977 (0.020395434411524027)
O3,1496 (-635),1.726938502673797 (0.14704523716360152),729 (-45),1.6975308641975309 (-0.12370045484080561),4525 (-1622),1.6919337016574585 (0.025255413051463282)
