Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,4509,861,684,2903,61
O1,6058 (-1549; -34.4%),1613 (-752; -87.3%),812 (-128; -18.7%),3542 (-639; -22.0%),91 (-30; -49.2%)
O2,6506 (-1997; -44.3%),1402 (-541; -62.8%),696 (-12; -1.8%),4304 (-1401; -48.3%),104 (-43; -70.5%)
O3,6825 (-2316; -51.4%),1496 (-635; -73.8%),729 (-45; -6.6%),4525 (-1622; -55.9%),75 (-14; -23.0%)
