Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,4509, ,861, ,684, ,2903
O1,6058,96.4%,1613,96.5%,812,96.2%,3542,96.3%
O2,6506,96.7%,1402,95.9%,696,96.1%,4304,97.0%
O3,6825,96.7%,1496,96.3%,729,95.2%,4525,97.1%
