Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,1,4,19,0,1,15,20,0,0,1
O1,1 (0; 0.0%),4 (0; 0.0%),38 (-19; -100.0%),0 (0; 0.0%),5 (-4; -400.0%),8 (7; 46.7%),33 (-13; -65.0%),0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%)
O2,12 (-11; -1100.0%),3 (1; 25.0%),44 (-25; -131.6%),0 (0; 0.0%),2 (-1; -100.0%),10 (5; 33.3%),32 (-12; -60.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O3,2 (-1; -100.0%),2 (2; 50.0%),34 (-15; -78.9%),0 (0; 0.0%),1 (0; 0.0%),9 (6; 40.0%),27 (-7; -35.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
