Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,27 of 35,9 of 17
O1,10 (-3),34 (-7),15 (-6)
O2,8 (-1),31 (-4),13 (-4)
O3,9 (-2),32 (-5),16 (-7)
