Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,544,349,77,117,1
O2-aggressive-instcombine,505 (39; 7.2%),361 (-12; -3.4%),38 (39; 50.6%),96 (21; 17.9%),10 (-9; -900.0%)
O2-argpromotion,499 (45; 8.3%),351 (-2; -0.6%),44 (33; 42.9%),92 (25; 21.4%),12 (-11; -1100.0%)
O2-callsite-splitting,499 (45; 8.3%),351 (-2; -0.6%),44 (33; 42.9%),92 (25; 21.4%),12 (-11; -1100.0%)
