Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,8 of 11,28 of 35,11 of 17
O2-aggressive-instcombine,8 (0),22 (6),9 (2)
O2-argpromotion,8 (0),22 (6),9 (2)
O2-callsite-splitting,8 (0),22 (6),9 (2)
