Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O1,302,1.5844370860927153,21,1.1428571428571428,50,1.74
O1_foptimize_sibling_calls,302 (0),1.5844370860927153 (0.0),21 (0),1.1428571428571428 (0.0),50 (0),1.74 (0.0)
