Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,92,80,7,3,2
O2_fipa_cp_clone,92 (0; 0.0%),80 (0; 0.0%),7 (0; 0.0%),3 (0; 0.0%),2 (0; 0.0%)
