Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,1,1,0,0,2,1,0,0,0
O1,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (2; 100.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2,0 (0; 0.0%),2 (-1; -100.0%),9 (-8; -800.0%),0 (0; 0.0%),0 (0; 0.0%),0 (2; 100.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O3,4 (-4; 0.0%),0 (1; 100.0%),9 (-8; -800.0%),0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
