Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,599,392,74,122,11
O0_fomit_frame_pointer,591 (8; 1.3%),413 (-21; -5.4%),85 (-11; -14.9%),84 (38; 31.1%),9 (2; 18.2%)
O0_fshrink_wrap,618 (-19; -3.2%),390 (2; 0.5%),73 (1; 1.4%),141 (-19; -15.6%),14 (-3; -27.3%)
