Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,0,1,1,0,0,0,1,0,0,0
O1-constmerge,0 (0; 0.0%),0 (1; 100.0%),8 (-7; -700.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-elim-avail-extern,0 (0; 0.0%),0 (1; 100.0%),8 (-7; -700.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-gvn,0 (0; 0.0%),0 (1; 100.0%),8 (-7; -700.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-inline,0 (0; 0.0%),0 (1; 100.0%),8 (-7; -700.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-mldst-motion,0 (0; 0.0%),0 (1; 100.0%),8 (-7; -700.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-slp-vectorizer,0 (0; 0.0%),0 (1; 100.0%),8 (-7; -700.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
