Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,585,413,72,97,3
O1-constmerge,508 (77; 13.2%),352 (61; 14.8%),49 (23; 31.9%),98 (-1; -1.0%),9 (-6; -200.0%)
O1-elim-avail-extern,508 (77; 13.2%),352 (61; 14.8%),49 (23; 31.9%),98 (-1; -1.0%),9 (-6; -200.0%)
O1-gvn,496 (89; 15.2%),352 (61; 14.8%),46 (26; 36.1%),89 (8; 8.2%),9 (-6; -200.0%)
O1-inline,508 (77; 13.2%),352 (61; 14.8%),49 (23; 31.9%),98 (-1; -1.0%),9 (-6; -200.0%)
O1-mldst-motion,508 (77; 13.2%),352 (61; 14.8%),49 (23; 31.9%),98 (-1; -1.0%),9 (-6; -200.0%)
O1-slp-vectorizer,508 (77; 13.2%),352 (61; 14.8%),49 (23; 31.9%),98 (-1; -1.0%),9 (-6; -200.0%)
