Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,9 of 11,27 of 35,11 of 17
O1,8 (1),29 (-2),11 (0)
O2,9 (0),32 (-5),13 (-2)
O3,8 (1),30 (-3),14 (-3)
