Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,1,3,3,0,0,0,1,0,0,0
O1,0 (1; 100.0%),6 (-3; -100.0%),1 (2; 66.7%),0 (0; 0.0%),0 (0; 0.0%),6 (-6; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2,1 (0; 0.0%),3 (0; 0.0%),1 (2; 66.7%),0 (0; 0.0%),0 (0; 0.0%),4 (-4; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O3,0 (1; 100.0%),7 (-4; -133.3%),3 (0; 0.0%),0 (0; 0.0%),2 (-2; 0.0%),6 (-6; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
