Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,860,522,126,204,8
O1,1000 (-140; -16.3%),701 (-179; -34.3%),121 (5; 4.0%),165 (39; 19.1%),13 (-5; -62.5%)
O2,1150 (-290; -33.7%),805 (-283; -54.2%),199 (-73; -57.9%),135 (69; 33.8%),11 (-3; -37.5%)
O3,1246 (-386; -44.9%),840 (-318; -60.9%),204 (-78; -61.9%),183 (21; 10.3%),19 (-11; -137.5%)
