Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,860, ,522, ,126, ,204
O1,1000,95.2%,701,94.2%,121,98.3%,165,97.0%
O2,1150,95.7%,805,94.9%,199,98.0%,135,97.8%
O3,1246,95.7%,840,95.2%,204,96.1%,183,97.3%
