Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,4,12,24,0,3,40,20,0,0,3
O0-ftree-copy-prop,5 (-1; -25.0%),8 (4; 33.3%),20 (4; 16.7%),0 (0; 0.0%),0 (3; 100.0%),37 (3; 7.5%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O0-ftree-dce,4 (0; 0.0%),6 (6; 50.0%),19 (5; 20.8%),0 (0; 0.0%),1 (2; 66.7%),41 (-1; -2.5%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-ftree-dominator-opts,6 (-2; -50.0%),5 (7; 58.3%),18 (6; 25.0%),0 (0; 0.0%),1 (2; 66.7%),38 (2; 5.0%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-ftree-dse,4 (0; 0.0%),6 (6; 50.0%),19 (5; 20.8%),0 (0; 0.0%),1 (2; 66.7%),41 (-1; -2.5%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-ftree-fre,4 (0; 0.0%),6 (6; 50.0%),19 (5; 20.8%),0 (0; 0.0%),1 (2; 66.7%),41 (-1; -2.5%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-ftree-pta,4 (0; 0.0%),6 (6; 50.0%),19 (5; 20.8%),0 (0; 0.0%),1 (2; 66.7%),41 (-1; -2.5%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-ftree-sink,4 (0; 0.0%),6 (6; 50.0%),19 (5; 20.8%),0 (0; 0.0%),1 (2; 66.7%),41 (-1; -2.5%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-ftree-slsr,4 (0; 0.0%),6 (6; 50.0%),19 (5; 20.8%),0 (0; 0.0%),1 (2; 66.7%),41 (-1; -2.5%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-ftree-sra,4 (0; 0.0%),6 (6; 50.0%),19 (5; 20.8%),0 (0; 0.0%),1 (2; 66.7%),41 (-1; -2.5%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-ftree-ter,5 (-1; -25.0%),3 (9; 75.0%),13 (11; 45.8%),0 (0; 0.0%),1 (2; 66.7%),31 (9; 22.5%),27 (-7; -35.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
