Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,2086,1.673777564717162,944,1.8993644067796611,1504,1.8101728723404256
O0-fbranch-count-reg,2070 (16),1.6606280193236715 (0.013149545393490447),1108 (-164),1.6525270758122743 (0.2468373309673868),1535 (-31),1.7120521172638437 (0.09812075507658191)
O0-fcombine-stack-adjustments,2072 (14),1.6636100386100385 (0.010167526107123459),1023 (-79),1.7126099706744868 (0.18675443610517428),1519 (-15),1.8120473996050033 (-0.0018745272645777078)
O0-fcompare-elim,2075 (11),1.6602409638554216 (0.013536600861740355),1113 (-169),1.8369272237196765 (0.06243718305998458),1442 (62),1.7430651872399445 (0.06710768510048104)
O0-fcprop-registers,2070 (16),1.6611111111111112 (0.012666453606050787),1108 (-164),1.6525270758122743 (0.2468373309673868),1535 (-31),1.7120521172638437 (0.09812075507658191)
O0-fdefer-pop,2080 (6),1.6742788461538463 (-0.0005012814366842644),987 (-43),1.9326241134751774 (-0.033259706695516256),1401 (103),1.7890792291220556 (0.02109364321836993)
O0-fforward-propagate,2070 (16),1.6606280193236715 (0.013149545393490447),1108 (-164),1.6525270758122743 (0.2468373309673868),1535 (-31),1.7120521172638437 (0.09812075507658191)
O0-fguess-branch-probability,2085 (1),1.6556354916067146 (0.018142073110447354),932 (12),1.944206008583691 (-0.04484160180402985),1462 (42),1.798563611491108 (0.01160926084931746)
O0-fif-conversion,2075 (11),1.6602409638554216 (0.013536600861740355),1113 (-169),1.8369272237196765 (0.06243718305998458),1442 (62),1.7430651872399445 (0.06710768510048104)
O0-fif-conversion2,2078 (8),1.6588065447545717 (0.014971019962590315),1113 (-169),1.8369272237196765 (0.06243718305998458),1442 (62),1.7430651872399445 (0.06710768510048104)
O0-finline-functions-called-once,2085 (1),1.6546762589928057 (0.01910130572435631),922 (22),1.9436008676789587 (-0.04423646089929756),1464 (40),1.801571038251366 (0.008601834089059457)
O0-fipa-profile,2067 (19),1.6669085631349783 (0.006869001582183731),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-fipa-pure-const,2084 (2),1.6679462571976968 (0.005831307519465145),917 (27),1.8451472191930207 (0.0542171875866404),1443 (61),1.8333333333333333 (-0.023160460992907694)
O0-fipa-reference,2075 (11),1.6602409638554216 (0.013536600861740355),1113 (-169),1.8369272237196765 (0.06243718305998458),1442 (62),1.7430651872399445 (0.06710768510048104)
O0-fmove-loop-invariants,2079 (7),1.6606541606541607 (0.013123404063001276),965 (-21),2.001554404145078 (-0.10218999736541678),1471 (33),1.7464309993201903 (0.06374187302023526)
O0-fomit-frame-pointer,1586 (500),1.7468474148802018 (-0.0730698501630398),1003 (-59),1.9057826520438683 (-0.006418245264207201),1354 (150),1.8116691285081241 (-0.0014962561676985509)
O0-freorder-blocks,2078 (8),1.6588065447545717 (0.014971019962590315),1113 (-169),1.8369272237196765 (0.06243718305998458),1442 (62),1.7430651872399445 (0.06710768510048104)
O0-fshrink-wrap,2091 (-5),1.6781444285031086 (-0.00436686378594664),1077 (-133),1.7256267409470751 (0.17373766583258599),1497 (7),1.7501670006680026 (0.060005871672422995)
O0-fsplit-wide-types,2070 (16),1.6606280193236715 (0.013149545393490447),1108 (-164),1.6525270758122743 (0.2468373309673868),1535 (-31),1.7120521172638437 (0.09812075507658191)
O0-fssa-phiopt,2066 (20),1.6677153920619554 (0.006062172655206588),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-bit-ccp,2075 (11),1.6602409638554216 (0.013536600861740355),1113 (-169),1.8369272237196765 (0.06243718305998458),1448 (56),1.7392955801104972 (0.07087729222992833)
O0-ftree-builtin-call-dce,2079 (7),1.6606541606541607 (0.013123404063001276),965 (-21),2.001554404145078 (-0.10218999736541678),1471 (33),1.7464309993201903 (0.06374187302023526)
O0-ftree-ccp,2070 (16),1.6678743961352658 (0.005903168581896212),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-ch,2067 (19),1.6669085631349783 (0.006869001582183731),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-coalesce-vars,2112 (-26),1.6628787878787878 (0.010898776838374147),957 (-13),2.0146290491118077 (-0.11526464233214662),1518 (-14),1.9430171277997366 (-0.132844255459311)
O0-ftree-copy-prop,2078 (8),1.6588065447545717 (0.014971019962590315),1113 (-169),1.8369272237196765 (0.06243718305998458),1442 (62),1.7430651872399445 (0.06710768510048104)
O0-ftree-dce,2067 (19),1.6673923560716013 (0.0063852086455606916),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-dominator-opts,2069 (17),1.6614306428226195 (0.01234692189454245),1108 (-164),1.6525270758122743 (0.2468373309673868),1535 (-31),1.7120521172638437 (0.09812075507658191)
O0-ftree-dse,2074 (12),1.6661041465766635 (0.007673418140498489),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-fre,2067 (19),1.6673923560716013 (0.0063852086455606916),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-pta,2072 (14),1.67253861003861 (0.0012389546785520622),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-sink,2066 (20),1.6677153920619554 (0.006062172655206588),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-slsr,2066 (20),1.6677153920619554 (0.006062172655206588),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-sra,2067 (19),1.6673923560716013 (0.0063852086455606916),954 (-10),2.0770440251572326 (-0.1776796183775715),1474 (30),1.7669606512890095 (0.04321222105141609)
O0-ftree-ter,2130 (-44),1.6746478873239437 (-0.0008703226067816594),663 (281),1.7699849170437405 (0.12937948973592062),1784 (-280),1.8419282511210762 (-0.0317553787806506)
