Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,4640, ,2086, ,944, ,1504
O0-fbranch-count-reg,4808,42.0%,2070,4.2%,1108,81.9%,1535,63.3%
O0-fcombine-stack-adjustments,4707,58.1%,2072,38.0%,1023,82.9%,1519,67.2%
O0-fcompare-elim,4722,40.9%,2075,4.4%,1113,81.9%,1442,60.8%
O0-fcprop-registers,4808,42.0%,2070,4.2%,1108,81.9%,1535,63.3%
O0-fdefer-pop,4558,59.3%,2080,47.4%,987,77.0%,1401,63.5%
O0-fforward-propagate,4808,42.0%,2070,4.2%,1108,81.9%,1535,63.3%
O0-fguess-branch-probability,4580,39.8%,2085,4.9%,932,80.6%,1462,62.2%
O0-fif-conversion,4722,40.9%,2075,4.4%,1113,81.9%,1442,60.8%
O0-fif-conversion2,4725,40.9%,2078,4.5%,1113,81.9%,1442,60.8%
O0-finline-functions-called-once,4572,39.7%,2085,4.9%,922,80.4%,1464,62.2%
O0-fipa-profile,4588,38.7%,2067,4.0%,954,78.0%,1474,61.0%
O0-fipa-pure-const,4529,60.9%,2084,48.0%,917,79.1%,1443,67.0%
O0-fipa-reference,4722,40.9%,2075,4.4%,1113,81.9%,1442,60.8%
O0-fmove-loop-invariants,4612,40.2%,2079,4.6%,965,81.1%,1471,62.2%
O0-fomit-frame-pointer,4051,89.3%,1586,86.3%,1003,92.2%,1354,90.0%
O0-freorder-blocks,4725,40.9%,2078,4.5%,1113,81.9%,1442,60.8%
O0-fshrink-wrap,4758,60.5%,2091,43.3%,1077,82.5%,1497,67.3%
O0-fsplit-wide-types,4808,42.0%,2070,4.2%,1108,81.9%,1535,63.3%
O0-fssa-phiopt,4587,38.7%,2066,4.0%,954,78.0%,1474,61.0%
O0-ftree-bit-ccp,4728,41.0%,2075,4.4%,1113,81.9%,1448,61.0%
O0-ftree-builtin-call-dce,4612,40.2%,2079,4.6%,965,81.1%,1471,62.2%
O0-ftree-ccp,4591,38.7%,2070,4.2%,954,78.0%,1474,61.0%
O0-ftree-ch,4588,38.7%,2067,4.0%,954,78.0%,1474,61.0%
O0-ftree-coalesce-vars,4671,70.5%,2112,56.3%,957,86.4%,1518,78.9%
O0-ftree-copy-prop,4725,40.9%,2078,4.5%,1113,81.9%,1442,60.8%
O0-ftree-dce,4588,38.7%,2067,4.0%,954,78.0%,1474,61.0%
O0-ftree-dominator-opts,4807,42.0%,2069,4.2%,1108,81.9%,1535,63.3%
O0-ftree-dse,4595,38.8%,2074,4.3%,954,78.0%,1474,61.0%
O0-ftree-fre,4588,38.7%,2067,4.0%,954,78.0%,1474,61.0%
O0-ftree-pta,4593,38.8%,2072,4.2%,954,78.0%,1474,61.0%
O0-ftree-sink,4587,38.7%,2066,4.0%,954,78.0%,1474,61.0%
O0-ftree-slsr,4587,38.7%,2066,4.0%,954,78.0%,1474,61.0%
O0-ftree-sra,4588,38.7%,2067,4.0%,954,78.0%,1474,61.0%
O0-ftree-ter,4660,72.4%,2130,59.8%,663,86.0%,1784,81.3%
