Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,448,327,55,64,2
O1,561 (-113; -25.2%),387 (-60; -18.3%),52 (3; 5.5%),117 (-53; -82.8%),5 (-3; -150.0%)
O2,572 (-124; -27.7%),374 (-47; -14.4%),79 (-24; -43.6%),118 (-54; -84.4%),1 (1; 50.0%)
O3,539 (-91; -20.3%),378 (-51; -15.6%),59 (-4; -7.3%),100 (-36; -56.2%),2 (0; 0.0%)
