Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,113,105,7,0,1
O1,128 (-15; -13.3%),102 (3; 2.9%),22 (-15; -214.3%),3 (-3; 0.0%),1 (0; 0.0%)
O2,155 (-42; -37.2%),123 (-18; -17.1%),19 (-12; -171.4%),11 (-11; 0.0%),2 (-1; -100.0%)
O3,143 (-30; -26.5%),127 (-22; -21.0%),12 (-5; -71.4%),2 (-2; 0.0%),2 (-1; -100.0%)
