Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,1763,1.751843448667045,815,1.636196319018405,2640,1.656628787878788
O0-fbranch-count-reg,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fcombine-stack-adjustments,1769 (-6),1.7532504239683437 (-0.0014069753012988517),835 (-20),1.5994011976047904 (0.03679512141361463),2640 (0),1.6573863636363637 (-0.0007575757575757347)
O0-fcompare-elim,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fcprop-registers,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fdefer-pop,1750 (13),1.7225714285714286 (0.029272020095616247),834 (-19),1.51378896882494 (0.12240735019346505),2571 (69),1.6421625826526642 (0.01446620522612374)
O0-fforward-propagate,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fguess-branch-probability,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fif-conversion,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fif-conversion2,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-finline-functions-called-once,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fipa-profile,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fipa-pure-const,1753 (10),1.747005134055904 (0.004838314611140815),838 (-23),1.847255369928401 (-0.21105905090999588),2574 (66),1.671911421911422 (-0.015282634032633968)
O0-fipa-reference,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fmove-loop-invariants,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fomit-frame-pointer,1882 (-119),1.5363974495217854 (0.21544599914525953),1701 (-886),1.8483245149911816 (-0.21212819597277655),2663 (-23),2.1472024033045436 (-0.4905736154257556)
O0-freorder-blocks,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-fshrink-wrap,1844 (-81),1.729934924078091 (0.02190852458895387),939 (-124),1.9605963791267305 (-0.32440006010832545),2348 (292),1.6910136286201023 (-0.034384840741314315)
O0-fsplit-wide-types,1782 (-19),1.7014590347923682 (0.05038441387467674),1251 (-436),2.113109512390088 (-0.4769131933716828),2666 (-26),1.5918979744936235 (0.06473081338516451)
O0-fssa-phiopt,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-bit-ccp,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-builtin-call-dce,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-ccp,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-ch,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-coalesce-vars,1773 (-10),1.7464749012972363 (0.0053685473698086295),819 (-4),1.6971916971916972 (-0.06099537817329215),2605 (35),1.681190019193858 (-0.024561231315070042)
O0-ftree-copy-prop,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-dce,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-dominator-opts,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-dse,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-fre,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-pta,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-sink,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-slsr,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-sra,1763 (0),1.751843448667045 (0.0),815 (0),1.636196319018405 (0.0),2640 (0),1.656628787878788 (0.0)
O0-ftree-ter,1649 (114),1.6661613098847787 (0.08568213878226616),1231 (-416),2.0662063363119416 (-0.4300100172935366),1786 (854),1.8488241881298992 (-0.19219540025111126)
