Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,1,5,19,0,3,15,26,0,0,2
O0-ftree-copy-prop,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-dce,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-dominator-opts,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-dse,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-fre,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-pta,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-sink,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-slsr,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-sra,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-ftree-ter,5 (-4; -400.0%),2 (3; 60.0%),15 (4; 21.1%),0 (0; 0.0%),2 (1; 33.3%),8 (7; 46.7%),32 (-6; -23.1%),0 (0; 0.0%),0 (0; 0.0%),0 (2; 100.0%)
