Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,16,11,15,0,1,14,26,0,0,31
O1-fpartial-inlining,16 (0; 0.0%),11 (0; 0.0%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-fpeephole2,17 (-1; -6.2%),15 (-4; -36.4%),24 (-9; -60.0%),0 (0; 0.0%),4 (-3; -300.0%),12 (2; 14.3%),21 (5; 19.2%),0 (0; 0.0%),0 (0; 0.0%),33 (-2; -6.5%)
O1-freorder-blocks-and-partition,16 (0; 0.0%),11 (0; 0.0%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-freorder-functions,16 (0; 0.0%),8 (3; 27.3%),20 (-5; -33.3%),0 (0; 0.0%),1 (0; 0.0%),13 (1; 7.1%),29 (-3; -11.5%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-frerun-cse-after-loop,16 (0; 0.0%),7 (4; 36.4%),19 (-4; -26.7%),0 (0; 0.0%),2 (-1; -100.0%),12 (2; 14.3%),20 (6; 23.1%),0 (0; 0.0%),0 (0; 0.0%),33 (-2; -6.5%)
O1-fschedule-insns2,16 (0; 0.0%),5 (6; 54.5%),13 (2; 13.3%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),33 (-2; -6.5%)
O1-fstore-merging,18 (-2; -12.5%),9 (2; 18.2%),22 (-7; -46.7%),0 (0; 0.0%),2 (-1; -100.0%),10 (4; 28.6%),24 (2; 7.7%),0 (0; 0.0%),0 (0; 0.0%),32 (-1; -3.2%)
O1-fstrict-aliasing,16 (0; 0.0%),7 (4; 36.4%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),8 (6; 42.9%),15 (11; 42.3%),0 (0; 0.0%),0 (0; 0.0%),33 (-2; -6.5%)
O1-fstrict-overflow,17 (-1; -6.2%),10 (1; 9.1%),24 (-9; -60.0%),0 (0; 0.0%),1 (0; 0.0%),10 (4; 28.6%),20 (6; 23.1%),0 (0; 0.0%),0 (0; 0.0%),33 (-2; -6.5%)
O1-fthread-jumps,18 (-2; -12.5%),10 (1; 9.1%),13 (2; 13.3%),0 (0; 0.0%),2 (-1; -100.0%),10 (4; 28.6%),29 (-3; -11.5%),0 (0; 0.0%),0 (0; 0.0%),32 (-1; -3.2%)
O1-ftree-pre,22 (-6; -37.5%),5 (6; 54.5%),18 (-3; -20.0%),0 (0; 0.0%),3 (-2; -200.0%),3 (11; 78.6%),13 (13; 50.0%),0 (0; 0.0%),0 (0; 0.0%),32 (-1; -3.2%)
O1-ftree-switch-conversion,16 (0; 0.0%),7 (4; 36.4%),18 (-3; -20.0%),0 (0; 0.0%),2 (-1; -100.0%),8 (6; 42.9%),17 (9; 34.6%),0 (0; 0.0%),0 (0; 0.0%),32 (-1; -3.2%)
O1-ftree-tail-merge,16 (0; 0.0%),11 (0; 0.0%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-ftree-vrp,20 (-4; -25.0%),16 (-5; -45.5%),24 (-9; -60.0%),0 (0; 0.0%),1 (0; 0.0%),12 (2; 14.3%),16 (10; 38.5%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
