Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O1,2989,1.7193041150886583,1036,1.6472007722007722,1786,1.7259238521836506
O1-falign-labels,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-fcaller-saves,2908 (81),1.7539546079779917 (-0.03465049288933342),1032 (4),1.568313953488372 (0.07888681871240011),1620 (166),1.6842592592592593 (0.041664592924391286)
O1-fcode-hoisting,2954 (35),1.727657413676371 (-0.00835329858771261),1018 (18),1.68762278978389 (-0.04042201758311781),1639 (147),1.5622330689444783 (0.1636907832391723)
O1-fcrossjumping,2924 (65),1.7423050615595075 (-0.02300094647084916),1081 (-45),1.6419981498612395 (0.005202622339532725),1814 (-28),1.6634509371554576 (0.06247291502819308)
O1-fcse-follow-jumps,2951 (38),1.732802439850898 (-0.013498324762239777),1109 (-73),1.4954914337240757 (0.15170933847669654),1761 (25),1.5195911413969336 (0.206332710786717)
O1-fdevirtualize,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-fdevirtualize-speculatively,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-fexpensive-optimizations,2940 (49),1.7377551020408164 (-0.018450986952158077),998 (38),1.6723446893787575 (-0.025143917177985253),1763 (23),1.5768576290414067 (0.14906622314224394)
O1-fgcse,2964 (25),1.7729419703103915 (-0.053637855221733144),1104 (-68),1.678894927536232 (-0.03169415533545972),1760 (26),1.6147727272727272 (0.11115112491092338)
O1-fhoist-adjacent-loads,2982 (7),1.7146210596914822 (0.004683055397176172),980 (56),1.7122448979591838 (-0.06504412575841156),1785 (1),1.6565826330532214 (0.06934121913042923)
O1-findirect-inlining,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-finline-small-functions,2626 (363),1.7052551408987053 (0.01404897418995299),861 (175),1.5789779326364692 (0.06822283956430297),2298 (-512),1.7402088772845954 (-0.01428502510094476)
O1-fipa-bit-cp,2991 (-2),1.7181544633901704 (0.001149651698487908),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-fipa-cp,2957 (32),1.7368955021981738 (-0.017591387109515466),1057 (-21),1.7119205298013245 (-0.06471975760055226),1784 (2),1.5849215246636772 (0.14100232751997344)
O1-fipa-icf,2998 (-9),1.7318212141427618 (-0.012517099054103475),1108 (-72),1.6078519855595668 (0.03934878664120545),1764 (22),1.6519274376417235 (0.07399641454192718)
O1-fipa-icf-functions,2998 (-9),1.7318212141427618 (-0.012517099054103475),1108 (-72),1.6078519855595668 (0.03934878664120545),1764 (22),1.6519274376417235 (0.07399641454192718)
O1-fipa-icf-variables,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-fipa-ra,3009 (-20),1.7588899966766367 (-0.03958588158797838),950 (86),1.671578947368421 (-0.02437817516764884),1639 (147),1.5933496034167176 (0.13257424876693302)
O1-fipa-sra,2925 (64),1.7362393162393162 (-0.01693520115065783),984 (52),1.8363821138211383 (-0.18918134162036604),1712 (74),1.6542056074766356 (0.07171824470701504)
O1-fipa-vrp,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-fisolate-erroneous-paths-dereference,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-flra-remat,2976 (13),1.7367271505376345 (-0.017423035448976165),1047 (-11),1.6470869149952245 (0.00011385720554768497),1748 (38),1.7371281464530892 (-0.011204294269438586)
O1-foptimize-sibling-calls,3061 (-72),1.6906239790918 (0.028680135996858258),1143 (-107),1.7388451443569555 (-0.09164437215618326),1709 (77),1.6304856641310708 (0.09543818805257986)
O1-foptimize-strlen,2976 (13),1.755880376344086 (-0.03657626125542768),1038 (-2),1.5847784200385358 (0.06242235216223646),1751 (35),1.6516276413478013 (0.07429621083584936)
O1-fpartial-inlining,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-fpeephole2,3148 (-159),1.7968551461245235 (-0.07755103103586514),1186 (-150),1.5252951096121417 (0.12190566258863056),1771 (15),1.613777526821005 (0.11214632536264557)
O1-freorder-blocks-and-partition,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-freorder-functions,3005 (-16),1.7447587354409317 (-0.025454620352273416),1033 (3),1.6364956437560503 (0.010705128444721934),1808 (-22),1.5760508849557522 (0.14987296722789845)
O1-frerun-cse-after-loop,2897 (92),1.7447359337245427 (-0.025431818635884396),1182 (-146),1.6789340101522843 (-0.03173323795151206),1675 (111),1.6059701492537313 (0.11995370292991936)
O1-fschedule-insns2,2805 (184),1.701782531194296 (0.017521583894362314),1006 (30),1.7186878727634194 (-0.07148710056264718),1741 (45),1.6309592188397473 (0.09496463334390337)
O1-fstore-merging,2982 (7),1.7364185110663983 (-0.017114395977740005),1037 (-1),1.6297010607521698 (0.017499711448602406),1712 (74),1.6568341121495327 (0.06908974003411794)
O1-fstrict-aliasing,2928 (61),1.733948087431694 (-0.014643972343035605),985 (51),1.6532994923857869 (-0.006098720185014672),1628 (158),1.5955159705159705 (0.13040788166768014)
O1-fstrict-overflow,2898 (91),1.7481021394064873 (-0.028798024317828963),1066 (-30),1.5816135084427767 (0.0655872637579955),1640 (146),1.5432926829268292 (0.18263116925682144)
O1-fthread-jumps,2983 (6),1.7321488434461951 (-0.012844728357536805),984 (52),1.6758130081300813 (-0.02861223592930906),1752 (34),1.6569634703196348 (0.06896038186401587)
O1-ftree-pre,2993 (-4),1.762946876044103 (-0.043642760955444615),1063 (-27),1.5380997177798683 (0.1091010544209039),1722 (64),1.6498257839721255 (0.0760980682115251)
O1-ftree-switch-conversion,3003 (-14),1.739094239094239 (-0.019790124005580667),1053 (-17),1.6196581196581197 (0.027542652542652535),1832 (-46),1.622816593886463 (0.1031072582971877)
O1-ftree-tail-merge,2989 (0),1.7193041150886583 (0.0),1036 (0),1.6472007722007722 (0.0),1786 (0),1.7259238521836506 (0.0)
O1-ftree-vrp,2943 (46),1.7511043153244987 (-0.0318002002358404),1132 (-96),1.792844522968198 (-0.14564375076742575),1736 (50),1.6543778801843319 (0.07154597199931878)
