Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,5925, ,2989, ,1036, ,1786
O1-falign-labels,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-fcaller-saves,5668,59.4%,2908,38.5%,1032,88.6%,1620,78.3%
O1-fcode-hoisting,5729,50.9%,2954,32.6%,1018,84.9%,1639,61.9%
O1-fcrossjumping,5941,52.8%,2924,32.4%,1081,86.6%,1814,64.7%
O1-fcse-follow-jumps,5937,52.7%,2951,32.7%,1109,85.4%,1761,65.0%
O1-fdevirtualize,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-fdevirtualize-speculatively,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-fexpensive-optimizations,5796,53.8%,2940,34.1%,998,86.1%,1763,68.5%
O1-fgcse,5944,56.4%,2964,37.2%,1104,86.8%,1760,69.3%
O1-fhoist-adjacent-loads,5864,32.9%,2982,8.7%,980,70.7%,1785,51.8%
O1-findirect-inlining,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-finline-small-functions,5864,65.3%,2626,45.6%,861,87.3%,2298,79.1%
O1-fipa-bit-cp,5927,0.0%,2991,0.1%,1036,0.0%,1786,0.0%
O1-fipa-cp,5914,50.1%,2957,29.6%,1057,84.3%,1784,63.2%
O1-fipa-icf,5992,43.1%,2998,22.9%,1108,76.1%,1764,56.2%
O1-fipa-icf-functions,5992,43.1%,2998,22.9%,1108,76.1%,1764,56.2%
O1-fipa-icf-variables,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-fipa-ra,5699,48.7%,3009,30.8%,950,84.5%,1639,60.6%
O1-fipa-sra,5738,53.6%,2925,35.3%,984,85.4%,1712,66.1%
O1-fipa-vrp,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-fisolate-erroneous-paths-dereference,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-flra-remat,5888,14.6%,2976,6.8%,1047,28.7%,1748,19.5%
O1-foptimize-sibling-calls,6024,54.1%,3061,34.5%,1143,86.4%,1709,65.9%
O1-foptimize-strlen,5893,42.6%,2976,17.6%,1038,83.3%,1751,59.7%
O1-fpartial-inlining,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-fpeephole2,6231,59.6%,3148,45.2%,1186,88.9%,1771,65.2%
O1-freorder-blocks-and-partition,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-freorder-functions,5964,49.5%,3005,29.1%,1033,84.5%,1808,63.1%
O1-frerun-cse-after-loop,5863,50.7%,2897,29.9%,1182,86.5%,1675,61.1%
O1-fschedule-insns2,5660,54.8%,2805,36.5%,1006,81.2%,1741,69.3%
O1-fstore-merging,5848,48.2%,2982,28.8%,1037,82.5%,1712,60.3%
O1-fstrict-aliasing,5636,48.1%,2928,29.7%,985,83.5%,1628,59.8%
O1-fstrict-overflow,5719,52.1%,2898,32.6%,1066,84.9%,1640,64.6%
O1-fthread-jumps,5833,34.1%,2983,9.9%,984,74.2%,1752,52.1%
O1-ftree-pre,5874,55.5%,2993,37.1%,1063,88.7%,1722,67.1%
O1-ftree-switch-conversion,5988,41.1%,3003,15.9%,1053,77.8%,1832,60.9%
O1-ftree-tail-merge,5925,0.0%,2989,0.0%,1036,0.0%,1786,0.0%
O1-ftree-vrp,5931,55.8%,2943,36.4%,1132,87.4%,1736,67.7%
