Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,697,576,63,53,5
O1_fcse_follow_jumps,677 (20; 2.9%),573 (3; 0.5%),51 (12; 19.0%),51 (2; 3.8%),2 (3; 60.0%)
O1_foptimize_sibling_calls,696 (1; 0.1%),604 (-28; -4.9%),45 (18; 28.6%),43 (10; 18.9%),4 (1; 20.0%)
O1_fpeephole2,697 (0; 0.0%),607 (-31; -5.4%),57 (6; 9.5%),31 (22; 41.5%),2 (3; 60.0%)
O1_fstore_merging,715 (-18; -2.6%),596 (-20; -3.5%),56 (7; 11.1%),59 (-6; -11.3%),4 (1; 20.0%)
