Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,1,1,1,0,0,1,1,0,0,0
O1_fcse_follow_jumps,1 (0; 0.0%),0 (1; 100.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_foptimize_sibling_calls,1 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_fpeephole2,0 (1; 100.0%),0 (1; 100.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_fstore_merging,1 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
