Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,18 of 35,5 of 17
O1,6 (1),19 (-1),6 (-1)
O2,6 (1),21 (-3),8 (-3)
O3,6 (1),20 (-2),6 (-1)
