Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,88,65,15,6,2
O1,117 (-29; -33.0%),101 (-36; -55.4%),15 (0; 0.0%),0 (6; 100.0%),1 (1; 50.0%)
O2,92 (-4; -4.5%),80 (-15; -23.1%),7 (8; 53.3%),3 (3; 50.0%),2 (0; 0.0%)
O3,97 (-9; -10.2%),82 (-17; -26.2%),6 (9; 60.0%),8 (-2; -33.3%),1 (1; 50.0%)
