Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,1161,827,169,155,10
O2_fipa_cp_clone,1160 (1; 0.1%),833 (-6; -0.7%),158 (11; 6.5%),159 (-4; -2.6%),10 (0; 0.0%)
