Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,2013,1210,401,361,41
O2_fipa_cp_clone,1956 (57; 2.8%),1188 (22; 1.8%),395 (6; 1.5%),343 (18; 5.0%),30 (11; 26.8%)
