Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,113,86,18,8,1
O1,151 (-38; -33.6%),127 (-41; -47.7%),5 (13; 72.2%),15 (-7; -87.5%),4 (-3; -300.0%)
O2,134 (-21; -18.6%),122 (-36; -41.9%),6 (12; 66.7%),4 (4; 50.0%),2 (-1; -100.0%)
O3,136 (-23; -20.4%),116 (-30; -34.9%),8 (10; 55.6%),11 (-3; -37.5%),1 (0; 0.0%)
