Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,86,1.5872093023255813,18,2.0555555555555554,8,1.75
O1,127 (-41),1.4173228346456692 (0.1698864676799121),5 (13),0.6 (1.4555555555555553),15 (-7),1.8666666666666667 (-0.1166666666666667)
O2,122 (-36),1.4385245901639345 (0.1486847121616468),6 (12),0.5 (1.5555555555555554),4 (4),2.0 (-0.25)
O3,116 (-30),1.4396551724137931 (0.14755412991178818),8 (10),1.5 (0.5555555555555554),11 (-3),2.8636363636363638 (-1.1136363636363638)
