Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,5,30,43,0,4,23,35,0,0,6
O0_fomit_frame_pointer,6 (-1; -20.0%),19 (11; 36.7%),39 (4; 9.3%),0 (0; 0.0%),3 (1; 25.0%),48 (-25; -108.7%),40 (-5; -14.3%),0 (0; 0.0%),0 (0; 0.0%),0 (6; 100.0%)
O0_tailcallelim,6 (-1; -20.0%),43 (-13; -43.3%),48 (-5; -11.6%),0 (0; 0.0%),13 (-9; -225.0%),41 (-18; -78.3%),62 (-27; -77.1%),0 (0; 0.0%),0 (0; 0.0%),1 (5; 83.3%)
