Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,4475,1863,1199,1345,68
O1,5928 (-1453; -32.5%),2925 (-1062; -57.0%),1507 (-308; -25.7%),1389 (-44; -3.3%),107 (-39; -57.4%)
O2,5728 (-1253; -28.0%),3046 (-1183; -63.5%),1495 (-296; -24.7%),1086 (259; 19.3%),101 (-33; -48.5%)
O3,5709 (-1234; -27.6%),3121 (-1258; -67.5%),1348 (-149; -12.4%),1136 (209; 15.5%),104 (-36; -52.9%)
