Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,10,9,24,0,3,6,14,0,0,2
O1,3 (7; 70.0%),9 (0; 0.0%),57 (-33; -137.5%),0 (0; 0.0%),9 (-6; -200.0%),7 (-1; -16.7%),22 (-8; -57.1%),0 (0; 0.0%),0 (0; 0.0%),0 (2; 100.0%)
O2,11 (-1; -10.0%),8 (1; 11.1%),62 (-38; -158.3%),0 (0; 0.0%),9 (-6; -200.0%),2 (4; 66.7%),9 (5; 35.7%),0 (0; 0.0%),0 (0; 0.0%),0 (2; 100.0%)
O3,17 (-7; -70.0%),9 (0; 0.0%),61 (-37; -154.2%),0 (0; 0.0%),9 (-6; -200.0%),3 (3; 50.0%),3 (11; 78.6%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
