Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O1,0, ,0, ,2, ,0, ,0, ,0, ,0, ,0, ,0, ,0
O1-falign-labels,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,0,0.0%
O1-fcaller-saves,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fcode-hoisting,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fcrossjumping,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,1,100.0%,1,100.0%,0,0.0%,0,0.0%,0,0.0%
O1-fcse-follow-jumps,0,0.0%,0,0.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fdevirtualize,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,0,0.0%
O1-fdevirtualize-speculatively,0,0.0%,1,100.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fexpensive-optimizations,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fgcse,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fhoist-adjacent-loads,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-findirect-inlining,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-finline-small-functions,0,0.0%,0,0.0%,3,66.7%,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,0,0.0%
O1-fipa-bit-cp,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,0,0.0%
O1-fipa-cp,0,0.0%,1,100.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fipa-icf,0,0.0%,1,100.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fipa-icf-functions,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fipa-icf-variables,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fipa-ra,0,0.0%,1,100.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fipa-sra,0,0.0%,1,100.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fipa-vrp,0,0.0%,1,100.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fisolate-erroneous-paths-dereference,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-flra-remat,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,0,0.0%
O1-foptimize-sibling-calls,0,0.0%,0,0.0%,10,90.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-foptimize-strlen,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-fpartial-inlining,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,0,0.0%
O1-fpeephole2,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-freorder-blocks-and-partition,0,0.0%,1,100.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
O1-freorder-functions,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,1,100.0%,1,100.0%,0,0.0%,0,0.0%,0,0.0%
O1-frerun-cse-after-loop,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
