Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,0,0,2,0,0,0,0,0,0,0
O1-fpartial-inlining,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fpeephole2,0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-freorder-blocks-and-partition,0 (0; 0.0%),1 (-1; 0.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-freorder-functions,0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-frerun-cse-after-loop,0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fschedule-insns2,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fstore-merging,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fstrict-aliasing,0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fstrict-overflow,0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fthread-jumps,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-ftree-pre,0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-ftree-switch-conversion,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-ftree-tail-merge,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-ftree-vrp,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
