Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,385, ,300, ,51, ,32
O1-falign-labels,377,15.4%,299,2.3%,41,65.9%,34,64.7%
O1-fcaller-saves,372,30.4%,306,22.2%,32,59.4%,33,78.8%
O1-fcode-hoisting,370,27.6%,298,17.8%,48,70.8%,22,63.6%
O1-fcrossjumping,374,36.4%,289,23.2%,42,73.8%,40,90.0%
O1-fcse-follow-jumps,353,29.2%,299,22.1%,29,62.1%,23,78.3%
O1-fdevirtualize,377,15.4%,299,2.3%,41,65.9%,34,64.7%
O1-fdevirtualize-speculatively,372,14.5%,297,2.0%,42,66.7%,30,60.0%
O1-fexpensive-optimizations,390,30.5%,307,19.9%,53,73.6%,29,65.5%
O1-fgcse,356,33.4%,293,24.2%,40,75.0%,22,81.8%
O1-fhoist-adjacent-loads,373,14.5%,299,2.3%,43,67.4%,29,58.6%
O1-findirect-inlining,373,14.5%,299,2.3%,43,67.4%,29,58.6%
O1-finline-small-functions,388,32.0%,329,25.2%,34,70.6%,21,66.7%
O1-fipa-bit-cp,382,16.5%,304,3.9%,41,65.9%,34,64.7%
O1-fipa-cp,381,16.0%,301,3.0%,46,67.4%,31,61.3%
O1-fipa-icf,381,16.0%,301,3.0%,46,67.4%,31,61.3%
O1-fipa-icf-functions,373,14.5%,299,2.3%,43,67.4%,29,58.6%
O1-fipa-icf-variables,373,14.5%,299,2.3%,43,67.4%,29,58.6%
O1-fipa-ra,382,16.8%,302,4.0%,46,67.4%,31,61.3%
O1-fipa-sra,381,16.0%,301,3.0%,46,67.4%,31,61.3%
O1-fipa-vrp,381,16.0%,301,3.0%,46,67.4%,31,61.3%
O1-fisolate-erroneous-paths-dereference,384,17.2%,297,2.0%,46,69.6%,39,69.2%
O1-flra-remat,377,15.4%,299,2.3%,41,65.9%,34,64.7%
O1-foptimize-sibling-calls,400,40.8%,306,26.8%,59,86.4%,25,84.0%
O1-foptimize-strlen,346,24.9%,287,16.7%,32,65.6%,25,64.0%
O1-fpartial-inlining,377,15.4%,299,2.3%,41,65.9%,34,64.7%
O1-fpeephole2,380,44.2%,307,35.2%,39,76.9%,33,90.9%
O1-freorder-blocks-and-partition,372,14.5%,297,2.0%,42,66.7%,30,60.0%
O1-freorder-functions,359,29.0%,297,19.2%,32,71.9%,27,81.5%
O1-frerun-cse-after-loop,380,31.6%,297,19.9%,56,73.2%,26,76.9%
O1-fschedule-insns2,364,30.5%,286,21.0%,41,65.9%,34,64.7%
O1-fstore-merging,376,28.2%,298,17.1%,49,71.4%,26,69.2%
O1-fstrict-aliasing,363,16.3%,295,5.4%,42,66.7%,24,58.3%
O1-fstrict-overflow,381,31.8%,302,20.9%,57,75.4%,21,71.4%
O1-fthread-jumps,377,15.4%,299,2.3%,41,65.9%,34,64.7%
O1-ftree-pre,364,33.5%,308,26.0%,32,68.8%,21,85.7%
O1-ftree-switch-conversion,373,14.5%,299,2.3%,43,67.4%,29,58.6%
O1-ftree-tail-merge,377,15.4%,299,2.3%,41,65.9%,34,64.7%
O1-ftree-vrp,368,30.2%,308,22.4%,37,73.0%,21,66.7%
