Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,5562,3014,1194,1189,165
O2_fipa_cp_clone,5789 (-227; -4.1%),3074 (-60; -2.0%),1314 (-120; -10.1%),1227 (-38; -3.2%),174 (-9; -5.5%)
