Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O3,17,9,61,0,9,3,3,0,0,2
O3-no-tail-call-elim,1 (16; 94.1%),15 (-6; -66.7%),53 (8; 13.1%),0 (0; 0.0%),3 (6; 66.7%),12 (-9; -300.0%),30 (-27; -900.0%),0 (0; 0.0%),0 (0; 0.0%),4 (-2; -100.0%)
