Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O2,537, ,428, ,71, ,35
O2-fgcse-after-reload,544,18.9%,418,11.5%,83,36.1%,40,60.0%
O2-finline-functions,514,43.4%,371,34.2%,79,57.0%,60,81.7%
O2-fipa-cp-clone,567,28.6%,427,19.2%,89,51.7%,45,66.7%
O2-fpeel-loops,590,32.7%,447,25.7%,87,43.7%,54,74.1%
O2-fpredictive-commoning,537,0.0%,428,0.0%,71,0.0%,35,0.0%
O2-fsplit-loops,537,0.0%,428,0.0%,71,0.0%,35,0.0%
O2-fsplit-paths,557,25.1%,434,19.4%,75,37.3%,44,59.1%
O2-ftree-loop-distribute-patterns,559,22.2%,433,15.7%,88,39.8%,35,57.1%
O2-ftree-loop-vectorize,580,29.0%,449,21.8%,92,51.1%,34,58.8%
O2-ftree-partial-pre,567,27.3%,442,21.9%,86,44.2%,36,52.8%
O2-ftree-slp-vectorize,543,17.7%,419,12.9%,81,29.6%,37,37.8%
O2-funswitch-loops,548,19.2%,430,16.3%,78,28.2%,36,30.6%
