Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,294,183,23,84,4
O1,374 (-80; -27.2%),302 (-119; -65.0%),21 (2; 8.7%),50 (34; 40.5%),1 (3; 75.0%)
O2,341 (-47; -16.0%),225 (-42; -23.0%),32 (-9; -39.1%),82 (2; 2.4%),2 (2; 50.0%)
O3,318 (-24; -8.2%),203 (-20; -10.9%),29 (-6; -26.1%),85 (-1; -1.2%),1 (3; 75.0%)
