Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,559,328,124,95,12
O1_fcse_follow_jumps,584 (-25; -4.5%),346 (-18; -5.5%),131 (-7; -5.6%),95 (0; 0.0%),12 (0; 0.0%)
O1_foptimize_sibling_calls,486 (73; 13.1%),337 (-9; -2.7%),89 (35; 28.2%),48 (47; 49.5%),12 (0; 0.0%)
O1_fpeephole2,556 (3; 0.5%),333 (-5; -1.5%),105 (19; 15.3%),107 (-12; -12.6%),11 (1; 8.3%)
O1_fstore_merging,568 (-9; -1.6%),335 (-7; -2.1%),127 (-3; -2.4%),95 (0; 0.0%),11 (1; 8.3%)
