Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,495,424,28,40,3
O1-constmerge,398 (97; 19.6%),290 (134; 31.6%),51 (-23; -82.1%),54 (-14; -35.0%),3 (0; 0.0%)
O1-elim-avail-extern,398 (97; 19.6%),290 (134; 31.6%),51 (-23; -82.1%),54 (-14; -35.0%),3 (0; 0.0%)
O1-gvn,389 (106; 21.4%),288 (136; 32.1%),49 (-21; -75.0%),50 (-10; -25.0%),2 (1; 33.3%)
O1-inline,398 (97; 19.6%),290 (134; 31.6%),51 (-23; -82.1%),54 (-14; -35.0%),3 (0; 0.0%)
O1-mldst-motion,398 (97; 19.6%),290 (134; 31.6%),51 (-23; -82.1%),54 (-14; -35.0%),3 (0; 0.0%)
O1-slp-vectorizer,407 (88; 17.8%),316 (108; 25.5%),49 (-21; -75.0%),39 (1; 2.5%),3 (0; 0.0%)
